Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),client-5(f1),client-5(rounds),client-6(f1),client-6(rounds)
mlp,auto,auto,flad,False,0,0 1,1,24,0.46094,0.00098,004.23,0.45995,12,0.46192,12
mlp,auto,auto,flad,False,0,0 1,2,36,0.46094,0.00098,003.95,0.45995,24,0.46192,12
mlp,auto,auto,flad,False,0,0 1,3,48,0.46094,0.00098,003.88,0.45995,24,0.46192,24
mlp,auto,auto,flad,False,0,0 1,4,60,0.46094,0.00098,003.77,0.45995,36,0.46192,24
mlp,auto,auto,flad,False,0,0 1,5,72,0.46094,0.00098,003.75,0.45995,36,0.46192,36
mlp,auto,auto,flad,False,0,0 1,6,84,0.46094,0.00098,003.72,0.45995,48,0.46192,36
mlp,auto,auto,flad,False,0,0 1,7,96,0.46094,0.00098,003.89,0.45995,60,0.46192,36
mlp,auto,auto,flad,False,0,0 1,8,108,0.63016,0.00203,003.91,0.62813,60,0.63219,48
mlp,auto,auto,flad,False,0,0 1,9,120,0.63016,0.00203,003.97,0.62813,72,0.63219,48
mlp,auto,auto,flad,False,0,0 1,10,132,0.63016,0.00203,003.89,0.62813,72,0.63219,60
mlp,auto,auto,flad,False,0,0 1,11,144,0.63016,0.00203,003.93,0.62813,84,0.63219,60
mlp,auto,auto,flad,False,0,0 1,12,156,0.66506,0.00171,003.91,0.66335,84,0.66677,72
mlp,auto,auto,flad,False,0,0 1,13,168,0.66506,0.00171,003.95,0.66335,96,0.66677,72
mlp,auto,auto,flad,False,0,0 1,14,180,0.66506,0.00171,004.05,0.66335,96,0.66677,84
mlp,auto,auto,flad,False,0,0 1,15,192,0.66506,0.00171,004.05,0.66335,108,0.66677,84
mlp,auto,auto,flad,False,0,0 1,16,204,0.66506,0.00171,003.79,0.66335,108,0.66677,96
mlp,auto,auto,flad,False,0,0 1,17,216,0.66506,0.00171,003.92,0.66335,120,0.66677,96
mlp,auto,auto,flad,False,0,0 1,18,228,0.66506,0.00171,004.04,0.66335,120,0.66677,108
mlp,auto,auto,flad,False,0,0 1,19,240,0.66506,0.00171,003.91,0.66335,132,0.66677,108
mlp,auto,auto,flad,False,0,0 1,20,252,0.66506,0.00171,003.95,0.66335,132,0.66677,120
mlp,auto,auto,flad,False,0,0 1,21,264,0.66506,0.00171,003.88,0.66335,144,0.66677,120
mlp,auto,auto,flad,False,0,0 1,22,276,0.66506,0.00171,003.98,0.66335,144,0.66677,132
mlp,auto,auto,flad,False,0,0 1,23,288,0.66506,0.00171,003.81,0.66335,156,0.66677,132
mlp,auto,auto,flad,False,0,0 1,24,300,0.66506,0.00171,003.73,0.66335,156,0.66677,144
mlp,auto,auto,flad,False,0,0 1,25,312,0.66506,0.00171,003.94,0.66335,168,0.66677,144
