Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),client-5(f1),client-5(rounds),client-6(f1),client-6(rounds)
mlp,auto,auto,flad,False,0,0 1,1,2,0.33874,0.00018,039.25,0.33857,1,0.33892,1
mlp,auto,auto,flad,False,0,0 1,2,3,0.51455,0.00082,039.62,0.51537,2,0.51373,1
mlp,auto,auto,flad,False,0,0 1,3,4,0.51455,0.00082,039.70,0.51537,2,0.51373,2
mlp,auto,auto,flad,False,0,0 1,4,5,0.51455,0.00082,039.52,0.51537,2,0.51373,3
mlp,auto,auto,flad,False,0,0 1,5,6,0.51455,0.00082,040.25,0.51537,3,0.51373,3
mlp,auto,auto,flad,False,0,0 1,6,7,0.51455,0.00082,039.84,0.51537,3,0.51373,4
mlp,auto,auto,flad,False,0,0 1,7,8,0.52260,0.00181,040.13,0.52079,4,0.52440,4
mlp,auto,auto,flad,False,0,0 1,8,9,0.52260,0.00181,040.10,0.52079,5,0.52440,4
mlp,auto,auto,flad,False,0,0 1,9,10,0.52260,0.00181,041.30,0.52079,5,0.52440,5
mlp,auto,auto,flad,False,0,0 1,10,11,0.52260,0.00181,040.06,0.52079,6,0.52440,5
mlp,auto,auto,flad,False,0,0 1,11,12,0.52260,0.00181,039.54,0.52079,7,0.52440,5
mlp,auto,auto,flad,False,0,0 1,12,13,0.65015,0.00231,040.04,0.64784,7,0.65246,6
mlp,auto,auto,flad,False,0,0 1,13,14,0.65015,0.00231,038.78,0.64784,8,0.65246,6
mlp,auto,auto,flad,False,0,0 1,14,15,0.65015,0.00231,039.02,0.64784,9,0.65246,6
mlp,auto,auto,flad,False,0,0 1,15,16,0.65015,0.00231,039.16,0.64784,10,0.65246,6
mlp,auto,auto,flad,False,0,0 1,16,17,0.65015,0.00231,038.79,0.64784,10,0.65246,7
mlp,auto,auto,flad,False,0,0 1,17,18,0.65015,0.00231,039.47,0.64784,11,0.65246,7
mlp,auto,auto,flad,False,0,0 1,18,19,0.65015,0.00231,038.83,0.64784,12,0.65246,7
mlp,auto,auto,flad,False,0,0 1,19,20,0.65015,0.00231,038.80,0.64784,12,0.65246,8
mlp,auto,auto,flad,False,0,0 1,20,21,0.65015,0.00231,038.65,0.64784,12,0.65246,9
mlp,auto,auto,flad,False,0,0 1,21,22,0.65015,0.00231,038.67,0.64784,13,0.65246,9
mlp,auto,auto,flad,False,0,0 1,22,23,0.65015,0.00231,038.95,0.64784,14,0.65246,9
mlp,auto,auto,flad,False,0,0 1,23,24,0.65015,0.00231,038.93,0.64784,15,0.65246,9
mlp,auto,auto,flad,False,0,0 1,24,25,0.65015,0.00231,038.62,0.64784,15,0.65246,10
mlp,auto,auto,flad,False,0,0 1,25,26,0.65015,0.00231,039.39,0.64784,16,0.65246,10
mlp,auto,auto,flad,False,0,0 1,26,27,0.65015,0.00231,038.98,0.64784,17,0.65246,10
mlp,auto,auto,flad,False,0,0 1,27,28,0.65015,0.00231,038.40,0.64784,18,0.65246,10
mlp,auto,auto,flad,False,0,0 1,28,29,0.65015,0.00231,038.80,0.64784,18,0.65246,11
mlp,auto,auto,flad,False,0,0 1,29,30,0.65015,0.00231,039.56,0.64784,19,0.65246,11
mlp,auto,auto,flad,False,0,0 1,30,31,0.65015,0.00231,040.06,0.64784,20,0.65246,11
mlp,auto,auto,flad,False,0,0 1,31,32,0.65015,0.00231,040.34,0.64784,21,0.65246,11
mlp,auto,auto,flad,False,0,0 1,32,33,0.65015,0.00231,040.18,0.64784,21,0.65246,12
mlp,auto,auto,flad,False,0,0 1,33,34,0.65015,0.00231,039.79,0.64784,22,0.65246,12
mlp,auto,auto,flad,False,0,0 1,34,35,0.65015,0.00231,040.18,0.64784,23,0.65246,12
mlp,auto,auto,flad,False,0,0 1,35,36,0.65015,0.00231,040.02,0.64784,23,0.65246,13
mlp,auto,auto,flad,False,0,0 1,36,37,0.65015,0.00231,040.42,0.64784,24,0.65246,13
mlp,auto,auto,flad,False,0,0 1,37,38,0.66526,0.00104,041.15,0.66630,25,0.66421,13
mlp,auto,auto,flad,False,0,0 1,38,39,0.66526,0.00104,040.03,0.66630,25,0.66421,14
mlp,auto,auto,flad,False,0,0 1,39,40,0.67910,0.00061,040.12,0.67849,25,0.67971,15
mlp,auto,auto,flad,False,0,0 1,40,41,0.67910,0.00061,040.35,0.67849,26,0.67971,15
mlp,auto,auto,flad,False,0,0 1,41,42,0.67910,0.00061,039.62,0.67849,27,0.67971,15
mlp,auto,auto,flad,False,0,0 1,42,43,0.67910,0.00061,039.85,0.67849,28,0.67971,15
mlp,auto,auto,flad,False,0,0 1,43,44,0.67910,0.00061,039.82,0.67849,29,0.67971,15
mlp,auto,auto,flad,False,0,0 1,44,45,0.67910,0.00061,038.78,0.67849,30,0.67971,15
mlp,auto,auto,flad,False,0,0 1,45,46,0.67910,0.00061,039.04,0.67849,30,0.67971,16
mlp,auto,auto,flad,False,0,0 1,46,47,0.67910,0.00061,039.44,0.67849,31,0.67971,16
mlp,auto,auto,flad,False,0,0 1,47,48,0.67910,0.00061,039.54,0.67849,31,0.67971,17
mlp,auto,auto,flad,False,0,0 1,48,49,0.67910,0.00061,039.92,0.67849,32,0.67971,17
mlp,auto,auto,flad,False,0,0 1,49,50,0.67910,0.00061,039.33,0.67849,33,0.67971,17
mlp,auto,auto,flad,False,0,0 1,50,51,0.67910,0.00061,039.62,0.67849,34,0.67971,17
mlp,auto,auto,flad,False,0,0 1,51,52,0.67910,0.00061,039.08,0.67849,34,0.67971,18
